"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11"
"199";2,783;41,905;6,238;9,956;13,412;1,372;13,647;0;0,185;3,411;7,09
"200";0,229;16,664;6,445;15,686;0,557;39,931;7,667;0;1,174;9,889;1,758
"201";0,17;10,595;40,278;33,75;0,353;2,011;10,158;0;0,102;1,261;1,321
"202";0,104;8,053;3,491;4,526;0;1,082;80,622;0;0,117;1,32;0,683
"203";0,121;10,754;6,318;16,688;0;1,458;9,648;0;0,606;1,424;52,983
"204";0,186;17,908;6,05;17,927;0,287;1,912;44,575;0;0,165;8,499;2,492
"205";0,551;56,574;12,954;16,637;0,786;1,78;5,913;0;0,364;1,345;3,097
"206";0,039;36,433;6,679;14,63;0,931;3,562;22,002;0;1,195;13,367;1,162
"207";0,537;37,77;15,888;25,792;1,981;1,191;13,089;0;0,334;0,599;2,82
"208";0,098;21,034;4,124;55,935;0,31;9,69;4,495;0;0,411;0,383;3,52
"209";0,095;92,316;3,358;1,515;0,089;0,25;1,822;0;0,032;0,255;0,269
"210";0,084;33,197;22,427;18,608;2,903;1,095;9,531;0;0,271;1,36;10,525
"211";0,357;29,83;15,883;6,518;10,955;0,719;16,003;0;0,142;18,415;1,18
"212";0,099;31,457;4,004;14,586;0,154;6,867;38,589;0;1,413;2,179;0,652
"213";0,201;10,84;22,533;24,163;0,46;2,248;20,376;0;10,671;6,821;1,686
"214";0,061;3,532;57,263;11,399;0,252;0,846;3,53;0;0,121;0,56;22,436
"215";0,19;28,184;11,114;25,052;1,237;3,83;11,956;0;1,557;13,448;3,432
"216";0,218;17,358;4,202;37,976;0,111;0,902;22,953;0;1,566;6,04;8,673
"217";0,367;53,307;5,65;15,125;0,984;4,178;7,931;0;0,984;4,622;6,851
"218";0,345;13,744;8,98;25,832;0,286;3,687;10,874;0;1,002;1,546;33,705
"219";0,277;15,984;6,343;14,451;1,695;0,768;22,966;0;0,395;16,52;20,602
"220";0,021;8,379;0,788;81,662;0,35;0,961;3,378;0;0,131;1,16;3,169
"221";1,005;39,612;12,707;12,093;1,119;6,717;20,392;0;1,106;2,131;3,119
"222";0,19;20,064;9,441;9,962;0,241;16,189;23,013;0;6,214;8,21;6,477
"223";0,154;56,143;2,498;17,787;9,464;3,218;5,032;0;2,047;2,417;1,24
"224";0,421;19,902;23,294;6,122;0,986;1,514;26,053;0;5,209;1,739;14,76
"225";0,196;44,842;21,557;12,321;0,422;8,807;7,62;0;0,842;1,89;1,504
"226";0,17;36,554;3,538;42,126;1,946;0,736;6,201;0;0,253;1,69;6,786
"227";0,252;23,049;38,455;13,802;2,221;3,152;11,033;0;0,673;3,081;4,284
"228";0,853;11,874;23,039;46,772;0,125;3,744;7,924;0;1,016;1,466;3,187
"229";0,103;19,738;2,96;9,047;0,424;1,549;11,165;0;0,367;49,435;5,213
"230";0,033;30,905;3,704;31,725;0,405;11,28;9,028;0;0,784;4,194;7,941
"231";0,438;12,131;2,944;60,623;1,451;5,152;10,9;0;0,448;4,388;1,527
"232";0,006;99,238;0,431;0,158;0,021;0,014;0,068;0;0,017;0,013;0,033
"233";0,071;53,825;2,21;24,777;0,081;0,632;16,133;0;0,162;0,58;1,53
"234";0,071;56,438;23,663;6,434;0,461;0,69;8,493;0;0,223;1,453;2,074
"235";0,036;32,862;9,954;33,017;0,861;0,609;5,756;0;0,287;5,417;11,201
"236";0,72;16,901;4,144;24,31;0,065;2,34;20,479;0;0,443;28,492;2,104
"237";0,096;28,964;6,045;12,407;0,106;0,733;11,917;0;0,743;24,772;14,217
"238";21,442;10,417;41,745;14,311;0,261;2,939;5,407;0;0,168;0,717;2,593
"239";0,097;19,064;3,719;48,896;0,884;0,551;6,611;0;0,139;1,207;18,832
"240";1,587;30,876;6,863;16,545;1,015;5,484;12,588;0;0,958;18,668;5,416
"241";1,555;42,996;8,175;25,751;1,019;0,477;11,024;0;1,266;1,745;5,992
"242";0,18;16,216;3,232;7,815;0,09;2,856;14,211;0;0,452;0,842;54,106
"243";0,947;48,187;6,883;13,67;0,664;1,606;19,703;0;0,259;5,455;2,626
"244";0,007;1,86;0,431;0,782;0,023;0,114;96,245;0;0,217;0,152;0,169
"245";0,063;54,287;17,936;5,756;0,053;9,188;9,792;0;0,268;0,836;1,821
"246";0,567;35,454;8,567;11,316;6,724;17,745;9,68;0;1,191;1,296;7,46
"247";5,984;16,991;3,509;41,306;0,33;1,53;25,883;0;0,588;1,294;2,585
"248";10,992;30,188;6,137;16,844;2,079;2,011;26,387;0;0,328;1,425;3,61
"249";0,181;24,946;5,631;38,129;0,281;2,658;25,002;0;0,312;2,198;0,661
"250";0,28;68,128;3,66;9,39;0,89;1,626;7,32;0;0,262;1,71;6,733
"251";0,496;33,015;3,532;28,609;0,129;7,641;17,476;0;0,277;1,795;7,029
"252";0,281;69,274;3,303;6,421;0,27;1,716;12,98;0;0,727;3,389;1,64
"253";0,187;0,887;0,194;11,979;0,012;0,051;86,299;0;0,118;0,109;0,163
"254";0,622;19,308;4,018;59,302;0,322;1,066;6,061;0;0,327;3,903;5,07
"255";0,522;43,31;14,017;12,687;0,637;4,761;16,647;0;2,143;2,303;2,972
"256";0,12;37,52;3,529;17,228;0,348;19,66;15,214;0;0,737;0,944;4,701
"257";0,519;39,249;15,503;26,789;0,57;1,054;8,301;0;1,127;2,106;4,781
"258";0,062;19,066;17,025;17,466;0,276;20,551;8,518;0;0,257;10,045;6,733
"259";0,181;6,026;2,974;30,609;0,359;1,964;54,674;0;0,283;1,576;1,354
"260";0,16;31,875;2,673;51,205;0,544;1,012;7,193;0;0,409;1,416;3,513
"261";0,212;24,974;5,269;12,435;0,259;15,73;36,617;0;0,945;1,02;2,539
"262";0,513;24,693;9,232;9,68;0,123;34,916;12,985;0;0,492;2,856;4,51
"263";0,163;70,851;3,495;6,445;0,311;8,147;7,759;0;0,662;0,615;1,552
"264";0,155;13,541;13,524;24,135;0,221;40,405;5,024;0;0,418;1,498;1,079
"265";0,959;61,4;5,593;6,159;0,357;0,686;5,665;0;0,095;14,78;4,307
"266";0,365;13,796;8,816;7,314;0,957;1,148;23,941;0;0,287;1,948;41,428
"267";0,896;19,33;6,742;5,131;10,139;1,966;49,97;0;0,34;1,619;3,867
"268";0,368;11,255;4,701;4,185;2,066;3,076;68,316;0;0,193;1,834;4,007
"269";0,129;11,967;16,986;35,427;0,467;1,875;18,48;0;0,519;3,418;10,732
"270";4,9;46,499;8,432;16,112;0,598;1,082;6,989;0;0,402;1,623;13,363
"271";0,014;97,331;1,214;0,297;0,006;0,033;0,83;0;0,006;0,029;0,242
"272";0,602;65,524;4,411;11,022;0,176;1,312;10,922;0;0,688;3,066;2,276
"273";0,102;27,31;19,962;12,033;0,741;3,216;28,974;0;0,984;1,21;5,469
"274";0,08;42,853;2,771;36,017;0,232;4,536;10,127;0;0,286;0,646;2,452
"275";0,235;24,844;47,201;13,249;0,083;2,064;8,065;0;0,844;0,925;2,49
"276";0,229;24,287;9,158;37,705;0,565;1,86;7,508;0;0,38;3,756;14,551
"277";0,422;37,291;8,792;17,75;2,576;2,807;13,696;0;0,468;3,538;12,66
"278";0,046;75,093;2,704;8,209;0,469;2,243;5,792;0;0,558;3,993;0,894
"279";0,733;17,559;4,019;33,783;0,356;1,887;11,896;0;0,385;26,849;2,533
"280";0,517;19,15;12,027;35,29;0,938;1,915;17,345;0;0,97;2,946;8,903
"281";0,334;42,061;3,228;29,321;0,837;6,004;15,396;0;0,299;0,952;1,569
"282";17,439;18,753;3,903;13,199;0,471;17,718;7,988;0;1,52;1,823;17,187
"283";0,128;35,851;30,974;10,369;0,46;0,395;18,362;0;0,641;0,918;1,903
"284";0,204;25,489;3,701;29,09;0,076;18,1;16,269;0;0,641;3,693;2,739
"285";0,015;3,902;0,922;0,842;0,039;0,134;93,724;0;0,067;0,198;0,158
"286";0,08;9,566;49,529;17,653;0,331;4,504;12,689;0;0,832;2,846;1,969
"287";0,007;1,939;1,252;2,655;0,022;0,374;92,253;0;0,209;1,104;0,185
"288";0;67,878;1,011;11,014;0,221;0,333;17,502;0;0,266;0,669;1,105
"289";0,845;22,66;15,601;24,483;0,125;21,02;7,599;0;0,572;0,991;6,104
"290";0,771;31,425;4,331;10,709;7,931;6,895;23,47;0;0,195;3,105;11,168
"291";0,502;18,224;4,404;13,732;0,128;1,305;54,084;0;0,21;0,564;6,846
"292";0,212;35,442;8,492;13,882;0,681;5,463;17,192;0;0,229;12,541;5,866
"293";0,156;29,718;11,979;27,197;0,163;3,909;10,855;0;1,233;7,774;7,015
"294";0,336;21,063;33,317;26,083;0,469;2,787;12,314;0;0,243;2,555;0,833
"295";0,646;44,075;6,971;16,907;0,856;6,376;13,227;0;1,534;4,102;5,307
"296";4,238;31,089;9,016;10,226;0,225;1,931;8,047;0;0,227;5,18;29,821
"297";0,204;9,541;8,036;10,471;0,24;2,065;64,931;0;0,723;1,55;2,24
"298";0,537;38,884;12,074;16,435;0,215;1,742;11,756;0;1,307;3,203;13,847
"299";0,255;25,755;3,89;8,043;1,338;11,795;39,698;0;2,539;1,485;5,202
"300";0,503;13,957;26,76;41,603;0,492;5,091;6,505;0;0,303;1,173;3,612
"301";0,711;20,211;5,693;25,972;1,243;3,84;27,702;0;0,371;8,988;5,27
"302";0,167;2,269;11,526;2,71;0;0,14;82,569;0;0,142;0,091;0,386
"303";2,865;46,383;7,505;7,573;0;6,702;12,763;0;0,184;9,588;6,438
"304";0,405;26,072;13,97;30,321;0,209;4,732;12,85;0;4,037;2,037;5,368
"305";0,029;29,428;2,04;4,695;0,161;56,528;0,809;0;0,167;0,115;6,027
"306";0,118;44,666;4,68;21,881;8,956;2,647;9,332;0;0,6;3,676;3,444
