"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13"
"175";0,484;1,759;1,05;0,215;1,46;41,652;2,29;33,861;0;0,259;16,484;0;0,487
"176";0,171;3,057;6,291;0,178;8,469;34,145;1,876;40,292;0;0,345;4,376;0;0,799
"177";0,683;6,208;3,528;0,124;2,814;8,282;0,335;75,563;0;0,118;1,883;0;0,462
"178";0,681;8,796;5,342;0,673;2,05;24,461;4,212;43,52;0;0,733;5,95;0;3,582
"179";0,364;0,928;0,415;3,268;0,63;2,049;0,582;84,084;0;6,315;1,25;0;0,114
"180";1,166;27,758;6,448;0,535;1,365;2,569;0,763;47,733;0;0,224;11,438;0;0
"181";2,658;1,92;1,341;2,99;2,943;9,169;20,185;40,881;0;4,944;11,359;0;1,61
"182";0,598;2,78;2,787;0,68;3,237;13,35;2,781;41,319;0;0,412;14,387;0;17,668
"183";0,195;1,976;0,948;8,273;16,49;2,15;2,285;52,341;0;0,39;14,072;0;0,88
"184";0,042;0,606;2,195;0,608;0,615;0,579;0,171;93,222;0;0,191;1,741;0;0,03
"185";0,242;0,575;1,447;1,125;0,996;2,373;1,214;85,946;0;0,296;5,501;0;0,285
"186";0,245;14,965;5,106;40,662;2,325;1,964;1,429;24,352;0;0,214;8,369;0;0,371
"187";0,849;2,812;1,811;0,298;2,018;54,875;1,071;27,727;0;1,33;2,946;0;4,262
"188";0,428;0,746;0,648;1,318;2,459;3,364;0,562;82,78;0;0,893;5,84;0;0,961
"189";0,55;2,338;4,026;0,342;1,531;2,79;4,302;77,321;0;0,447;4,444;0;1,91
"190";0,044;0,634;4,392;0,067;1,393;0,79;0,435;86,137;0;0,778;4,927;0;0,403
"191";0,074;14,094;0,779;0,063;1,432;0,635;0,299;80,894;0;0,161;1,373;0;0,198
"192";0,173;1,401;64,993;0,461;2,861;5,127;1,04;16,428;0;0,185;6,046;0;1,286
"193";0,051;0,153;0,046;0,117;0,066;0,35;0,957;97,914;0;0,016;0,27;0;0,061
"194";0,674;53,344;0,471;3,661;3,499;6,617;1,846;27,172;0;0,36;1,912;0;0,445
"195";0,494;1,953;8,745;9,487;2,429;11,695;0,699;62,546;0;0,391;1,438;0;0,122
"196";0,098;7,683;0,427;0,366;7,861;6,192;8,086;54,387;0;0,36;14,042;0;0,498
"197";0,179;1,601;0,322;1,118;0,379;4,449;60,786;17,398;0;1,693;10,789;0;1,286
"198";0,363;17,637;1,389;0,215;1,189;2,992;0,413;66,651;0;0,373;8,428;0;0,352
"199";0,229;7,783;1,053;0,2;2,575;8,966;2,921;71,479;0;0,589;3,85;0;0,355
"200";0,238;5,31;0,56;0,056;1,253;1,365;0,556;89,254;0;0,272;0,735;0;0,4
"201";0,337;6,597;1,952;0,285;0,667;18,08;0,852;65,742;0;1,795;3,149;0;0,545
"202";7,192;34,307;1,084;2,837;2,403;2,854;1,473;44,427;0;0,266;2,86;0;0,297
"203";0,899;6,242;7,455;0,951;2,15;3,003;1,157;70,388;0;0,744;6,504;0;0,505
"204";1,751;4,298;2,918;2,367;4,09;4,542;1,343;50,136;0;2,299;17,372;0;8,884
"205";0,823;0,787;1,123;0,123;3,465;4,891;1,429;83,395;0;0,713;2,072;0;1,18
"206";0,717;11,386;0,643;0,195;3,988;19,046;5,555;27,345;0;0,297;30,48;0;0,348
"207";0,368;3,2;1,326;1,866;1,145;3,103;2,475;77,497;0;5,773;2,914;0;0,331
"208";0,594;2,798;1,182;0,426;2,835;6,608;1,533;43,755;0;0,236;3,519;0;36,514
"209";0,392;1,054;2,291;0,256;2,916;25,134;0,363;63,899;0;0,201;3,075;0;0,419
"210";0,284;0,865;1,841;0,499;1,652;2,674;0,164;62,589;0;0,084;28,917;0;0,432
"211";0,417;16,823;1,689;1,859;15,796;4,543;1,031;42,39;0;3,046;10,267;0;2,139
"212";0,535;4,178;1,723;1,014;21,088;9,088;1,653;50,435;0;0,362;9,573;0;0,352
"213";8,037;0,546;0,373;0,024;0,969;0,562;0,19;86,031;0;0,09;1,61;0;1,568
"214";1,036;3,308;0,284;17,606;2,467;2,442;15,377;53,034;0;0,138;2,073;0;2,235
